State ,Location,Shell Length,Shell Width,Aperture Length,Weight,Condition,Infection status,Combo,Individual,Trial,Baseline,Water,Refuge
NC,AB,19.61,13.68,5.81,1.75,none,1,2,78,1,0.01,0.1,0.1
NC,AB,19.61,13.68,5.81,1.75,none,1,2,78,3,0.01,0.1,0.1
NC,AB,19.61,13.68,5.81,1.75,none,1,2,78,2,0.01,0.1,9
NC,AB,19.66,13.64,5.61,1.86,none,0,1,79,1,0.01,0.1,0.1
NC,AB,19.66,13.64,5.61,1.86,none,0,1,79,2,0.01,0.1,9
NC,AB,19.66,13.64,5.61,1.86,none,0,1,79,3,0.01,0.1,9
NC,AB,19.75,13.22,5.54,1.91,none,0,1,80,1,0.01,0.1,0.1
NC,AB,19.75,13.22,5.54,1.91,none,0,1,80,3,0.01,0.1,0.1
NC,AB,19.75,13.22,5.54,1.91,none,0,1,80,2,0.01,0.1,9
NC,AB,19.49,13.3,5.83,1.78,none,0,1,81,1,0.01,0.1,9
NC,AB,19.49,13.3,5.83,1.78,none,0,1,81,2,0.01,0.1,9
NC,AB,19.49,13.3,5.83,1.78,none,0,1,81,3,0.01,0.1,9
NC,AB,18.61,13.34,5.69,1.76,none,0,0,82,3,0.01,0.1,0.1
NC,AB,18.61,13.34,5.69,1.76,none,0,0,82,1,0.01,0.1,9
NC,AB,18.61,13.34,5.69,1.76,none,0,0,82,2,0.01,0.1,9
NC,AB,19.56,13.59,6.06,1.8,none,0,0,83,1,0.01,0.1,9
NC,AB,19.56,13.59,6.06,1.8,none,0,0,83,2,0.01,0.1,9
NC,AB,19.56,13.59,6.06,1.8,none,0,0,83,3,0.01,0.1,9
NC,AB,19.06,13.96,6.13,1.74,none,0,0,84,2,0.01,0.1,0.1
NC,AB,19.06,13.96,6.13,1.74,none,0,0,84,3,0.01,0.1,2
NC,AB,19.06,13.96,6.13,1.74,none,0,0,84,1,0.01,0.1,9
NC,AB,17.82,12.64,5.11,1.31,none,0,0,85,1,0.01,0.1,0.1
NC,AB,17.82,12.64,5.11,1.31,none,0,0,85,3,0.01,0.1,0.1
NC,AB,17.82,12.64,5.11,1.31,none,0,0,85,2,0.01,0.1,9
NC,AB,18.76,13.2,5.76,1.54,none,0,0,86,1,0.01,0.1,0.1
NC,AB,18.76,13.2,5.76,1.54,none,0,0,86,2,0.01,0.1,0.1
NC,AB,18.76,13.2,5.76,1.54,none,0,0,86,3,0.01,0.1,0.1
NC,AB,18.21,12.91,5.75,1.61,none,0,0,87,1,0.01,0.1,0.1
NC,AB,18.21,12.91,5.75,1.61,none,0,0,87,2,7,8,8
NC,AB,18.21,12.91,5.75,1.61,none,0,0,87,3,12,6,2
NC,AB,18.4,13.61,5.86,1.45,none,0,0,88,1,0.01,0.1,9
NC,AB,18.4,13.61,5.86,1.45,none,0,0,88,3,0.01,0.1,9
NC,AB,18.4,13.61,5.86,1.45,none,0,0,88,2,9,9,9
NC,AB,18.36,12.39,5.54,1.51,none,0,0,89,1,0.01,0.1,9
NC,AB,18.36,12.39,5.54,1.51,none,0,0,89,3,0.01,0.1,9
NC,AB,18.36,12.39,5.54,1.51,none,0,0,89,2,3,9,9
NC,AB,17.83,12.7,5.61,1.49,none,0,0,90,1,0.01,0.1,9
NC,AB,17.83,12.7,5.61,1.49,none,0,0,90,2,0.01,0.1,9
NC,AB,17.83,12.7,5.61,1.49,none,0,0,90,3,9,4,9
NC,AB,18.77,13.4,5.26,1.75,none,1,2,91,1,0.01,0.1,9
NC,AB,18.77,13.4,5.26,1.75,none,1,2,91,2,0.01,0.1,9
NC,AB,18.77,13.4,5.26,1.75,none,1,2,91,3,0.01,0.1,9
NC,AB,18.58,13.3,5.97,1.65,none,0,1,92,2,0.01,0.1,0.1
NC,AB,18.58,13.3,5.97,1.65,none,0,1,92,3,0.01,0.1,0.1
NC,AB,18.58,13.3,5.97,1.65,none,0,1,92,1,0.01,0.1,2
NC,AB,17.37,12.7,5.62,1.22,none,0,1,93,1,0.01,0.1,9
NC,AB,17.37,12.7,5.62,1.22,none,0,1,93,2,0.01,0.1,9
NC,AB,17.37,12.7,5.62,1.22,none,0,1,93,3,0.01,0.1,9
NC,AB,19.22,13.8,6.18,1.69,none,0,1,94,1,0.01,0.1,0.1
NC,AB,19.22,13.8,6.18,1.69,none,0,1,94,3,0.01,0.1,0.1
NC,AB,19.22,13.8,6.18,1.69,none,0,1,94,2,9,9,0.1
NC,AB,19.26,13.9,5.95,1.59,none,0,0,95,1,0.01,0.1,0.1
NC,AB,19.26,13.9,5.95,1.59,none,0,0,95,2,0.01,0.1,0.1
NC,AB,19.26,13.9,5.95,1.59,none,0,0,95,3,10,4,4
NC,AB,19.91,13.54,5.9,1.88,none,0,0,96,1,0.01,0.1,9
NC,AB,19.91,13.54,5.9,1.88,none,0,0,96,2,0.01,0.1,9
NC,AB,19.91,13.54,5.9,1.88,none,0,0,96,3,0.01,0.1,9
NC,AB,19.48,13.65,6.03,1.54,none,0,0,97,1,0.01,0.1,9
NC,AB,19.48,13.65,6.03,1.54,none,0,0,97,2,0.01,0.1,9
NC,AB,19.48,13.65,6.03,1.54,none,0,0,97,3,0.01,0.1,9
NC,AB,18.74,13.63,5.54,1.7,none,0,0,98,3,0.01,0.1,0.1
NC,AB,18.74,13.63,5.54,1.7,none,0,0,98,1,0.01,0.1,9
NC,AB,18.74,13.63,5.54,1.7,none,0,0,98,2,0.01,0.1,9
NC,AB,18.89,13.5,5.6,1.54,none,0,0,99,1,0.01,0.1,0.1
NC,AB,18.89,13.5,5.6,1.54,none,0,0,99,3,0.01,0.1,0.1
NC,AB,18.89,13.5,5.6,1.54,none,0,0,99,2,0.01,0.1,9
NC,AB,18.91,13.32,5.91,1.68,none,0,1,100,1,0.01,0.1,9
NC,AB,18.91,13.32,5.91,1.68,none,0,1,100,2,0.01,0.1,9
NC,AB,18.91,13.32,5.91,1.68,none,0,1,100,3,0.01,0.1,9
NC,AB,18.21,13.2,5.69,1.59,none,1,2,101,3,0.01,0.1,0.1
NC,AB,18.21,13.2,5.69,1.59,none,1,2,101,1,0.01,0.1,9
NC,AB,18.21,13.2,5.69,1.59,none,1,2,101,2,0.01,0.1,9
NC,AB,18.09,13.1,5.99,1.43,none,0,1,102,3,0.01,0.1,0.1
NC,AB,18.09,13.1,5.99,1.43,none,0,1,102,1,0.01,0.1,9
NC,AB,18.09,13.1,5.99,1.43,none,0,1,102,2,0.01,0.1,9
NC,AB,18.28,13.29,5.11,1.62,none,1,2,103,3,0.01,0.1,0.1
NC,AB,18.28,13.29,5.11,1.62,none,1,2,103,1,0.01,0.1,9
NC,AB,18.28,13.29,5.11,1.62,none,1,2,103,2,0.01,0.1,9
NC,AB,17.93,13.31,6.13,1.43,none,0,1,104,1,0.01,0.1,9
NC,AB,17.93,13.31,6.13,1.43,none,0,1,104,2,0.01,0.1,9
NC,AB,17.93,13.31,6.13,1.43,none,0,1,104,3,0.01,0.1,9
NC,AB,17.54,12.18,5.27,1.26,none,0,1,105,1,0.01,0.1,9
NC,AB,17.54,12.18,5.27,1.26,none,0,1,105,3,12,9,9
NC,AB,17.54,12.18,5.27,1.26,none,0,1,105,2,26,9,2
NC,AB,16.7,12.62,5.71,1.26,none,0,1,106,1,0.01,0.1,0.1
NC,AB,16.7,12.62,5.71,1.26,none,0,1,106,2,0.01,0.1,0.1
NC,AB,16.7,12.62,5.71,1.26,none,0,1,106,3,4,4,9
NC,AB,18.33,13,5.31,1.63,none,0,1,107,3,0.01,0.1,9
NC,AB,18.33,13,5.31,1.63,none,0,1,107,1,13,4,0.1
NC,AB,18.33,13,5.31,1.63,none,0,1,107,2,21,8,0.1
NC,AB,17.71,12.33,5.27,1.28,none,0,1,108,3,0.01,0.1,0.1
NC,AB,17.71,12.33,5.27,1.28,none,0,1,108,2,0.01,0.1,9
NC,AB,17.71,12.33,5.27,1.28,none,0,1,108,1,13,4,0.1
NC,AB,18.4,13.45,6.1,1.55,none,1,2,109,1,0.01,0.1,0.1
NC,AB,18.4,13.45,6.1,1.55,none,1,2,109,3,0.01,0.1,9
